,Statistic,Year,UNIT,VALUE,County_name
534,Persons Injured,2001,Number,399.0,Kerry
535,Persons Injured,2001,Number,484.0,Limerick
536,Persons Injured,2001,Number,340.0,Tipperary
537,Persons Injured,2001,Number,323.0,Waterford
538,Persons Injured,2001,Number,477.0,Galway
539,Persons Injured,2001,Number,103.0,Leitrim
540,Persons Injured,2001,Number,289.0,Mayo
541,Persons Injured,2001,Number,135.0,Roscommon
542,Persons Injured,2001,Number,117.0,Sligo
543,Persons Injured,2001,Number,232.0,Cavan
544,Persons Injured,2001,Number,431.0,Donegal
545,Persons Injured,2001,Number,156.0,Monaghan
546,Persons Injured,2002,Number,114.0,Carlow
547,Persons Injured,2002,Number,2113.0,Dublin
548,Persons Injured,2002,Number,416.0,Kildare
549,Persons Injured,2002,Number,237.0,Kilkenny
550,Persons Injured,2002,Number,133.0,Laois
551,Persons Injured,2002,Number,140.0,Longford
552,Persons Injured,2002,Number,337.0,Louth
553,Persons Injured,2002,Number,399.0,Meath
554,Persons Injured,2002,Number,121.0,Offaly
555,Persons Injured,2002,Number,199.0,Westmeath
556,Persons Injured,2002,Number,351.0,Wexford
557,Persons Injured,2002,Number,264.0,Wicklow
558,Persons Injured,2002,Number,189.0,Clare
559,Persons Injured,2002,Number,1054.0,Cork
560,Persons Injured,2002,Number,255.0,Kerry
561,Persons Injured,2002,Number,520.0,Limerick
562,Persons Injured,2002,Number,284.0,Tipperary
563,Persons Injured,2002,Number,254.0,Waterford
564,Persons Injured,2002,Number,466.0,Galway
565,Persons Injured,2002,Number,58.0,Leitrim
566,Persons Injured,2002,Number,264.0,Mayo
567,Persons Injured,2002,Number,177.0,Roscommon
568,Persons Injured,2002,Number,131.0,Sligo
569,Persons Injured,2002,Number,214.0,Cavan
570,Persons Injured,2002,Number,360.0,Donegal
571,Persons Injured,2002,Number,156.0,Monaghan
572,Persons Injured,2003,Number,102.0,Carlow
573,Persons Injured,2003,Number,1828.0,Dublin
574,Persons Injured,2003,Number,287.0,Kildare
575,Persons Injured,2003,Number,146.0,Kilkenny
576,Persons Injured,2003,Number,132.0,Laois
577,Persons Injured,2003,Number,102.0,Longford
578,Persons Injured,2003,Number,364.0,Louth
579,Persons Injured,2003,Number,345.0,Meath
580,Persons Injured,2003,Number,149.0,Offaly
581,Persons Injured,2003,Number,208.0,Westmeath
582,Persons Injured,2003,Number,330.0,Wexford
583,Persons Injured,2003,Number,282.0,Wicklow
584,Persons Injured,2003,Number,168.0,Clare
585,Persons Injured,2003,Number,977.0,Cork
586,Persons Injured,2003,Number,220.0,Kerry
587,Persons Injured,2003,Number,361.0,Limerick
588,Persons Injured,2003,Number,289.0,Tipperary
589,Persons Injured,2003,Number,220.0,Waterford
590,Persons Injured,2003,Number,401.0,Galway
591,Persons Injured,2003,Number,84.0,Leitrim
592,Persons Injured,2003,Number,208.0,Mayo
593,Persons Injured,2003,Number,154.0,Roscommon
594,Persons Injured,2003,Number,97.0,Sligo
595,Persons Injured,2003,Number,202.0,Cavan
596,Persons Injured,2003,Number,440.0,Donegal
597,Persons Injured,2003,Number,166.0,Monaghan
598,Persons Injured,2004,Number,73.0,Carlow
599,Persons Injured,2004,Number,1621.0,Dublin
600,Persons Injured,2004,Number,288.0,Kildare
601,Persons Injured,2004,Number,186.0,Kilkenny
602,Persons Injured,2004,Number,143.0,Laois
603,Persons Injured,2004,Number,104.0,Longford
604,Persons Injured,2004,Number,316.0,Louth
605,Persons Injured,2004,Number,296.0,Meath
606,Persons Injured,2004,Number,116.0,Offaly
607,Persons Injured,2004,Number,177.0,Westmeath
608,Persons Injured,2004,Number,295.0,Wexford
609,Persons Injured,2004,Number,238.0,Wicklow
610,Persons Injured,2004,Number,143.0,Clare
611,Persons Injured,2004,Number,880.0,Cork
612,Persons Injured,2004,Number,241.0,Kerry
613,Persons Injured,2004,Number,458.0,Limerick
614,Persons Injured,2004,Number,346.0,Tipperary
615,Persons Injured,2004,Number,233.0,Waterford
616,Persons Injured,2004,Number,340.0,Galway
617,Persons Injured,2004,Number,45.0,Leitrim
618,Persons Injured,2004,Number,225.0,Mayo
619,Persons Injured,2004,Number,178.0,Roscommon
620,Persons Injured,2004,Number,124.0,Sligo
621,Persons Injured,2004,Number,243.0,Cavan
622,Persons Injured,2004,Number,397.0,Donegal
623,Persons Injured,2004,Number,161.0,Monaghan
624,Persons Injured,2005,Number,127.0,Carlow
625,Persons Injured,2005,Number,1716.0,Dublin
626,Persons Injured,2005,Number,356.0,Kildare
627,Persons Injured,2005,Number,240.0,Kilkenny
628,Persons Injured,2005,Number,187.0,Laois
629,Persons Injured,2005,Number,104.0,Longford
630,Persons Injured,2005,Number,367.0,Louth
631,Persons Injured,2005,Number,420.0,Meath
632,Persons Injured,2005,Number,167.0,Offaly
633,Persons Injured,2005,Number,194.0,Westmeath
634,Persons Injured,2005,Number,377.0,Wexford
635,Persons Injured,2005,Number,318.0,Wicklow
636,Persons Injured,2005,Number,237.0,Clare
637,Persons Injured,2005,Number,1025.0,Cork
638,Persons Injured,2005,Number,344.0,Kerry
639,Persons Injured,2005,Number,487.0,Limerick
640,Persons Injured,2005,Number,342.0,Tipperary
641,Persons Injured,2005,Number,298.0,Waterford
642,Persons Injured,2005,Number,404.0,Galway
643,Persons Injured,2005,Number,78.0,Leitrim
644,Persons Injured,2005,Number,250.0,Mayo
645,Persons Injured,2005,Number,167.0,Roscommon
646,Persons Injured,2005,Number,205.0,Sligo
647,Persons Injured,2005,Number,291.0,Cavan
648,Persons Injured,2005,Number,448.0,Donegal
649,Persons Injured,2005,Number,169.0,Monaghan
650,Persons Injured,2006,Number,83.0,Carlow
651,Persons Injured,2006,Number,1713.0,Dublin
652,Persons Injured,2006,Number,266.0,Kildare
653,Persons Injured,2006,Number,199.0,Kilkenny
654,Persons Injured,2006,Number,181.0,Laois
655,Persons Injured,2006,Number,90.0,Longford
656,Persons Injured,2006,Number,308.0,Louth
657,Persons Injured,2006,Number,397.0,Meath
658,Persons Injured,2006,Number,180.0,Offaly
659,Persons Injured,2006,Number,168.0,Westmeath
660,Persons Injured,2006,Number,395.0,Wexford
661,Persons Injured,2006,Number,234.0,Wicklow
662,Persons Injured,2006,Number,236.0,Clare
663,Persons Injured,2006,Number,898.0,Cork
664,Persons Injured,2006,Number,348.0,Kerry
665,Persons Injured,2006,Number,466.0,Limerick
666,Persons Injured,2006,Number,357.0,Tipperary
667,Persons Injured,2006,Number,234.0,Waterford
668,Persons Injured,2006,Number,421.0,Galway
669,Persons Injured,2006,Number,72.0,Leitrim
670,Persons Injured,2006,Number,232.0,Mayo
671,Persons Injured,2006,Number,163.0,Roscommon
672,Persons Injured,2006,Number,143.0,Sligo
673,Persons Injured,2006,Number,187.0,Cavan
674,Persons Injured,2006,Number,444.0,Donegal
675,Persons Injured,2006,Number,160.0,Monaghan
676,Persons Injured,2007,Number,76.0,Carlow
677,Persons Injured,2007,Number,1217.0,Dublin
678,Persons Injured,2007,Number,279.0,Kildare
679,Persons Injured,2007,Number,227.0,Kilkenny
680,Persons Injured,2007,Number,170.0,Laois
681,Persons Injured,2007,Number,105.0,Longford
682,Persons Injured,2007,Number,368.0,Louth
683,Persons Injured,2007,Number,388.0,Meath
684,Persons Injured,2007,Number,188.0,Offaly
685,Persons Injured,2007,Number,240.0,Westmeath
686,Persons Injured,2007,Number,311.0,Wexford
687,Persons Injured,2007,Number,188.0,Wicklow
688,Persons Injured,2007,Number,209.0,Clare
689,Persons Injured,2007,Number,840.0,Cork
690,Persons Injured,2007,Number,394.0,Kerry
691,Persons Injured,2007,Number,470.0,Limerick
692,Persons Injured,2007,Number,357.0,Tipperary
693,Persons Injured,2007,Number,240.0,Waterford
694,Persons Injured,2007,Number,264.0,Galway
695,Persons Injured,2007,Number,63.0,Leitrim
696,Persons Injured,2007,Number,217.0,Mayo
697,Persons Injured,2007,Number,140.0,Roscommon
698,Persons Injured,2007,Number,115.0,Sligo
699,Persons Injured,2007,Number,182.0,Cavan
700,Persons Injured,2007,Number,409.0,Donegal
701,Persons Injured,2007,Number,149.0,Monaghan
702,Persons Injured,2008,Number,106.0,Carlow
703,Persons Injured,2008,Number,1992.0,Dublin
704,Persons Injured,2008,Number,388.0,Kildare
705,Persons Injured,2008,Number,222.0,Kilkenny
706,Persons Injured,2008,Number,198.0,Laois
707,Persons Injured,2008,Number,117.0,Longford
708,Persons Injured,2008,Number,405.0,Louth
709,Persons Injured,2008,Number,442.0,Meath
710,Persons Injured,2008,Number,174.0,Offaly
711,Persons Injured,2008,Number,176.0,Westmeath
712,Persons Injured,2008,Number,329.0,Wexford
713,Persons Injured,2008,Number,291.0,Wicklow
714,Persons Injured,2008,Number,288.0,Clare
715,Persons Injured,2008,Number,976.0,Cork
716,Persons Injured,2008,Number,387.0,Kerry
717,Persons Injured,2008,Number,539.0,Limerick
718,Persons Injured,2008,Number,348.0,Tipperary
719,Persons Injured,2008,Number,225.0,Waterford
720,Persons Injured,2008,Number,567.0,Galway
721,Persons Injured,2008,Number,61.0,Leitrim
722,Persons Injured,2008,Number,328.0,Mayo
723,Persons Injured,2008,Number,219.0,Roscommon
724,Persons Injured,2008,Number,172.0,Sligo
725,Persons Injured,2008,Number,171.0,Cavan
726,Persons Injured,2008,Number,503.0,Donegal
727,Persons Injured,2008,Number,134.0,Monaghan
728,Persons Injured,2009,Number,128.0,Carlow
729,Persons Injured,2009,Number,2028.0,Dublin
730,Persons Injured,2009,Number,363.0,Kildare
731,Persons Injured,2009,Number,208.0,Kilkenny
732,Persons Injured,2009,Number,185.0,Laois
733,Persons Injured,2009,Number,85.0,Longford
734,Persons Injured,2009,Number,467.0,Louth
735,Persons Injured,2009,Number,429.0,Meath
736,Persons Injured,2009,Number,190.0,Offaly
737,Persons Injured,2009,Number,191.0,Westmeath
738,Persons Injured,2009,Number,294.0,Wexford
739,Persons Injured,2009,Number,343.0,Wicklow
740,Persons Injured,2009,Number,267.0,Clare
741,Persons Injured,2009,Number,933.0,Cork
742,Persons Injured,2009,Number,345.0,Kerry
743,Persons Injured,2009,Number,487.0,Limerick
744,Persons Injured,2009,Number,336.0,Tipperary
745,Persons Injured,2009,Number,243.0,Waterford
746,Persons Injured,2009,Number,640.0,Galway
747,Persons Injured,2009,Number,84.0,Leitrim
748,Persons Injured,2009,Number,275.0,Mayo
749,Persons Injured,2009,Number,206.0,Roscommon
750,Persons Injured,2009,Number,189.0,Sligo
751,Persons Injured,2009,Number,221.0,Cavan
752,Persons Injured,2009,Number,490.0,Donegal
753,Persons Injured,2009,Number,115.0,Monaghan
754,Persons Injured,2010,Number,120.0,Carlow
755,Persons Injured,2010,Number,1761.0,Dublin
756,Persons Injured,2010,Number,357.0,Kildare
757,Persons Injured,2010,Number,144.0,Kilkenny
758,Persons Injured,2010,Number,135.0,Laois
759,Persons Injured,2010,Number,106.0,Longford
760,Persons Injured,2010,Number,306.0,Louth
761,Persons Injured,2010,Number,363.0,Meath
762,Persons Injured,2010,Number,151.0,Offaly
763,Persons Injured,2010,Number,162.0,Westmeath
764,Persons Injured,2010,Number,257.0,Wexford
765,Persons Injured,2010,Number,263.0,Wicklow
766,Persons Injured,2010,Number,225.0,Clare
767,Persons Injured,2010,Number,867.0,Cork
768,Persons Injured,2010,Number,254.0,Kerry
769,Persons Injured,2010,Number,393.0,Limerick
770,Persons Injured,2010,Number,312.0,Tipperary
771,Persons Injured,2010,Number,211.0,Waterford
772,Persons Injured,2010,Number,573.0,Galway
773,Persons Injured,2010,Number,75.0,Leitrim
774,Persons Injured,2010,Number,280.0,Mayo
775,Persons Injured,2010,Number,166.0,Roscommon
776,Persons Injured,2010,Number,142.0,Sligo
777,Persons Injured,2010,Number,197.0,Cavan
778,Persons Injured,2010,Number,361.0,Donegal
779,Persons Injured,2010,Number,89.0,Monaghan
780,Persons Injured,2011,Number,99.0,Carlow
781,Persons Injured,2011,Number,1607.0,Dublin
782,Persons Injured,2011,Number,268.0,Kildare
783,Persons Injured,2011,Number,133.0,Kilkenny
784,Persons Injured,2011,Number,119.0,Laois
785,Persons Injured,2011,Number,67.0,Longford
786,Persons Injured,2011,Number,249.0,Louth
787,Persons Injured,2011,Number,279.0,Meath
788,Persons Injured,2011,Number,107.0,Offaly
789,Persons Injured,2011,Number,127.0,Westmeath
790,Persons Injured,2011,Number,232.0,Wexford
791,Persons Injured,2011,Number,255.0,Wicklow
792,Persons Injured,2011,Number,172.0,Clare
793,Persons Injured,2011,Number,773.0,Cork
794,Persons Injured,2011,Number,249.0,Kerry
795,Persons Injured,2011,Number,429.0,Limerick
796,Persons Injured,2011,Number,243.0,Tipperary
797,Persons Injured,2011,Number,189.0,Waterford
798,Persons Injured,2011,Number,437.0,Galway
799,Persons Injured,2011,Number,87.0,Leitrim
800,Persons Injured,2011,Number,207.0,Mayo
801,Persons Injured,2011,Number,158.0,Roscommon
802,Persons Injured,2011,Number,131.0,Sligo
803,Persons Injured,2011,Number,174.0,Cavan
804,Persons Injured,2011,Number,314.0,Donegal
805,Persons Injured,2011,Number,130.0,Monaghan
806,Persons Injured,2012,Number,67.0,Carlow
807,Persons Injured,2012,Number,1974.0,Dublin
808,Persons Injured,2012,Number,260.0,Kildare
809,Persons Injured,2012,Number,176.0,Kilkenny
810,Persons Injured,2012,Number,118.0,Laois
811,Persons Injured,2012,Number,100.0,Longford
812,Persons Injured,2012,Number,343.0,Louth
813,Persons Injured,2012,Number,296.0,Meath
814,Persons Injured,2012,Number,128.0,Offaly
815,Persons Injured,2012,Number,138.0,Westmeath
816,Persons Injured,2012,Number,283.0,Wexford
817,Persons Injured,2012,Number,264.0,Wicklow
818,Persons Injured,2012,Number,194.0,Clare
819,Persons Injured,2012,Number,742.0,Cork
820,Persons Injured,2012,Number,239.0,Kerry
821,Persons Injured,2012,Number,385.0,Limerick
822,Persons Injured,2012,Number,237.0,Tipperary
823,Persons Injured,2012,Number,201.0,Waterford
824,Persons Injured,2012,Number,505.0,Galway
825,Persons Injured,2012,Number,71.0,Leitrim
826,Persons Injured,2012,Number,269.0,Mayo
827,Persons Injured,2012,Number,146.0,Roscommon
828,Persons Injured,2012,Number,133.0,Sligo
829,Persons Injured,2012,Number,161.0,Cavan
830,Persons Injured,2012,Number,390.0,Donegal
831,Persons Injured,2012,Number,122.0,Monaghan
832,Persons Injured,2013,Number,89.0,Carlow
833,Persons Injured,2013,Number,1410.0,Dublin
834,Persons Injured,2013,Number,337.0,Kildare
835,Persons Injured,2013,Number,119.0,Kilkenny
836,Persons Injured,2013,Number,95.0,Laois
837,Persons Injured,2013,Number,86.0,Longford
838,Persons Injured,2013,Number,294.0,Louth
839,Persons Injured,2013,Number,227.0,Meath
840,Persons Injured,2013,Number,135.0,Offaly
841,Persons Injured,2013,Number,105.0,Westmeath
842,Persons Injured,2013,Number,201.0,Wexford
843,Persons Injured,2013,Number,183.0,Wicklow
844,Persons Injured,2013,Number,182.0,Clare
845,Persons Injured,2013,Number,707.0,Cork
846,Persons Injured,2013,Number,250.0,Kerry
847,Persons Injured,2013,Number,401.0,Limerick
848,Persons Injured,2013,Number,248.0,Tipperary
849,Persons Injured,2013,Number,195.0,Waterford
850,Persons Injured,2013,Number,467.0,Galway
851,Persons Injured,2013,Number,40.0,Leitrim
852,Persons Injured,2013,Number,216.0,Mayo
853,Persons Injured,2013,Number,119.0,Roscommon
854,Persons Injured,2013,Number,149.0,Sligo
855,Persons Injured,2013,Number,163.0,Cavan
856,Persons Injured,2013,Number,355.0,Donegal
857,Persons Injured,2013,Number,107.0,Monaghan
858,Persons Injured,2014,Number,103.0,Carlow
859,Persons Injured,2014,Number,2125.0,Dublin
860,Persons Injured,2014,Number,335.0,Kildare
861,Persons Injured,2014,Number,137.0,Kilkenny
862,Persons Injured,2014,Number,150.0,Laois
863,Persons Injured,2014,Number,102.0,Longford
864,Persons Injured,2014,Number,318.0,Louth
865,Persons Injured,2014,Number,330.0,Meath
866,Persons Injured,2014,Number,107.0,Offaly
867,Persons Injured,2014,Number,161.0,Westmeath
868,Persons Injured,2014,Number,225.0,Wexford
869,Persons Injured,2014,Number,202.0,Wicklow
870,Persons Injured,2014,Number,173.0,Clare
871,Persons Injured,2014,Number,816.0,Cork
872,Persons Injured,2014,Number,347.0,Kerry
873,Persons Injured,2014,Number,400.0,Limerick
874,Persons Injured,2014,Number,266.0,Tipperary
875,Persons Injured,2014,Number,165.0,Waterford
876,Persons Injured,2014,Number,515.0,Galway
877,Persons Injured,2014,Number,56.0,Leitrim
878,Persons Injured,2014,Number,216.0,Mayo
879,Persons Injured,2014,Number,141.0,Roscommon
880,Persons Injured,2014,Number,100.0,Sligo
881,Persons Injured,2014,Number,166.0,Cavan
882,Persons Injured,2014,Number,310.0,Donegal
883,Persons Injured,2014,Number,113.0,Monaghan
884,Persons Injured,2015,Number,95.0,Carlow
885,Persons Injured,2015,Number,2143.0,Dublin
886,Persons Injured,2015,Number,343.0,Kildare
887,Persons Injured,2015,Number,166.0,Kilkenny
888,Persons Injured,2015,Number,96.0,Laois
889,Persons Injured,2015,Number,136.0,Longford
890,Persons Injured,2015,Number,245.0,Louth
891,Persons Injured,2015,Number,303.0,Meath
892,Persons Injured,2015,Number,94.0,Offaly
893,Persons Injured,2015,Number,160.0,Westmeath
894,Persons Injured,2015,Number,234.0,Wexford
895,Persons Injured,2015,Number,191.0,Wicklow
896,Persons Injured,2015,Number,158.0,Clare
897,Persons Injured,2015,Number,717.0,Cork
898,Persons Injured,2015,Number,279.0,Kerry
899,Persons Injured,2015,Number,355.0,Limerick
900,Persons Injured,2015,Number,237.0,Tipperary
901,Persons Injured,2015,Number,228.0,Waterford
902,Persons Injured,2015,Number,479.0,Galway
903,Persons Injured,2015,Number,86.0,Leitrim
904,Persons Injured,2015,Number,227.0,Mayo
905,Persons Injured,2015,Number,114.0,Roscommon
906,Persons Injured,2015,Number,124.0,Sligo
907,Persons Injured,2015,Number,168.0,Cavan
908,Persons Injured,2015,Number,318.0,Donegal
909,Persons Injured,2015,Number,144.0,Monaghan
910,Persons Injured,2016,Number,86.0,Carlow
911,Persons Injured,2016,Number,2245.0,Dublin
912,Persons Injured,2016,Number,387.0,Kildare
913,Persons Injured,2016,Number,169.0,Kilkenny
914,Persons Injured,2016,Number,106.0,Laois
915,Persons Injured,2016,Number,114.0,Longford
916,Persons Injured,2016,Number,231.0,Louth
917,Persons Injured,2016,Number,283.0,Meath
918,Persons Injured,2016,Number,116.0,Offaly
919,Persons Injured,2016,Number,167.0,Westmeath
920,Persons Injured,2016,Number,217.0,Wexford
921,Persons Injured,2016,Number,179.0,Wicklow
922,Persons Injured,2016,Number,161.0,Clare
923,Persons Injured,2016,Number,693.0,Cork
924,Persons Injured,2016,Number,272.0,Kerry
925,Persons Injured,2016,Number,350.0,Limerick
926,Persons Injured,2016,Number,234.0,Tipperary
927,Persons Injured,2016,Number,194.0,Waterford
928,Persons Injured,2016,Number,424.0,Galway
929,Persons Injured,2016,Number,88.0,Leitrim
930,Persons Injured,2016,Number,209.0,Mayo
931,Persons Injured,2016,Number,142.0,Roscommon
932,Persons Injured,2016,Number,99.0,Sligo
933,Persons Injured,2016,Number,179.0,Cavan
934,Persons Injured,2016,Number,314.0,Donegal
935,Persons Injured,2016,Number,114.0,Monaghan
936,Persons Injured,2017,Number,76.0,Carlow
937,Persons Injured,2017,Number,2265.0,Dublin
938,Persons Injured,2017,Number,338.0,Kildare
939,Persons Injured,2017,Number,136.0,Kilkenny
940,Persons Injured,2017,Number,172.0,Laois
941,Persons Injured,2017,Number,82.0,Longford
942,Persons Injured,2017,Number,304.0,Louth
943,Persons Injured,2017,Number,262.0,Meath
944,Persons Injured,2017,Number,148.0,Offaly
945,Persons Injured,2017,Number,145.0,Westmeath
946,Persons Injured,2017,Number,231.0,Wexford
947,Persons Injured,2017,Number,210.0,Wicklow
948,Persons Injured,2017,Number,190.0,Clare
949,Persons Injured,2017,Number,772.0,Cork
950,Persons Injured,2017,Number,276.0,Kerry
951,Persons Injured,2017,Number,346.0,Limerick
952,Persons Injured,2017,Number,232.0,Tipperary
953,Persons Injured,2017,Number,162.0,Waterford
954,Persons Injured,2017,Number,360.0,Galway
955,Persons Injured,2017,Number,50.0,Leitrim
956,Persons Injured,2017,Number,193.0,Mayo
957,Persons Injured,2017,Number,136.0,Roscommon
958,Persons Injured,2017,Number,121.0,Sligo
959,Persons Injured,2017,Number,153.0,Cavan
960,Persons Injured,2017,Number,330.0,Donegal
961,Persons Injured,2017,Number,92.0,Monaghan
962,Persons Injured,2018,Number,56.0,Carlow
963,Persons Injured,2018,Number,2345.0,Dublin
964,Persons Injured,2018,Number,396.0,Kildare
965,Persons Injured,2018,Number,122.0,Kilkenny
966,Persons Injured,2018,Number,159.0,Laois
967,Persons Injured,2018,Number,80.0,Longford
968,Persons Injured,2018,Number,247.0,Louth
969,Persons Injured,2018,Number,250.0,Meath
970,Persons Injured,2018,Number,145.0,Offaly
971,Persons Injured,2018,Number,130.0,Westmeath
972,Persons Injured,2018,Number,235.0,Wexford
973,Persons Injured,2018,Number,159.0,Wicklow
974,Persons Injured,2018,Number,133.0,Clare
975,Persons Injured,2018,Number,861.0,Cork
976,Persons Injured,2018,Number,324.0,Kerry
977,Persons Injured,2018,Number,408.0,Limerick
978,Persons Injured,2018,Number,251.0,Tipperary
979,Persons Injured,2018,Number,219.0,Waterford
980,Persons Injured,2018,Number,401.0,Galway
981,Persons Injured,2018,Number,51.0,Leitrim
982,Persons Injured,2018,Number,211.0,Mayo
983,Persons Injured,2018,Number,109.0,Roscommon
984,Persons Injured,2018,Number,108.0,Sligo
985,Persons Injured,2018,Number,157.0,Cavan
986,Persons Injured,2018,Number,361.0,Donegal
987,Persons Injured,2018,Number,93.0,Monaghan
988,Persons Injured,2019,Number,99.0,Carlow
989,Persons Injured,2019,Number,2338.0,Dublin
990,Persons Injured,2019,Number,314.0,Kildare
991,Persons Injured,2019,Number,89.0,Kilkenny
992,Persons Injured,2019,Number,95.0,Laois
993,Persons Injured,2019,Number,84.0,Longford
994,Persons Injured,2019,Number,251.0,Louth
995,Persons Injured,2019,Number,236.0,Meath
996,Persons Injured,2019,Number,132.0,Offaly
997,Persons Injured,2019,Number,130.0,Westmeath
998,Persons Injured,2019,Number,252.0,Wexford
999,Persons Injured,2019,Number,209.0,Wicklow
1000,Persons Injured,2019,Number,151.0,Clare
1001,Persons Injured,2019,Number,748.0,Cork
1002,Persons Injured,2019,Number,251.0,Kerry
1003,Persons Injured,2019,Number,351.0,Limerick
1004,Persons Injured,2019,Number,236.0,Tipperary
1005,Persons Injured,2019,Number,225.0,Waterford
1006,Persons Injured,2019,Number,410.0,Galway
1007,Persons Injured,2019,Number,44.0,Leitrim
1008,Persons Injured,2019,Number,204.0,Mayo
1009,Persons Injured,2019,Number,86.0,Roscommon
1010,Persons Injured,2019,Number,107.0,Sligo
1011,Persons Injured,2019,Number,129.0,Cavan
1012,Persons Injured,2019,Number,287.0,Donegal
1013,Persons Injured,2019,Number,121.0,Monaghan
1014,Persons Injured,2020,Number,,Carlow
1015,Persons Injured,2020,Number,,Dublin
1016,Persons Injured,2020,Number,,Kildare
1017,Persons Injured,2020,Number,,Kilkenny
1018,Persons Injured,2020,Number,,Laois
1019,Persons Injured,2020,Number,,Longford
1020,Persons Injured,2020,Number,,Louth
1021,Persons Injured,2020,Number,,Meath
1022,Persons Injured,2020,Number,,Offaly
1023,Persons Injured,2020,Number,,Westmeath
1024,Persons Injured,2020,Number,,Wexford
1025,Persons Injured,2020,Number,,Wicklow
1026,Persons Injured,2020,Number,,Clare
1027,Persons Injured,2020,Number,,Cork
1028,Persons Injured,2020,Number,,Kerry
1029,Persons Injured,2020,Number,,Limerick
1030,Persons Injured,2020,Number,,Tipperary
1031,Persons Injured,2020,Number,,Waterford
1032,Persons Injured,2020,Number,,Galway
1033,Persons Injured,2020,Number,,Leitrim
1034,Persons Injured,2020,Number,,Mayo
1035,Persons Injured,2020,Number,,Roscommon
1036,Persons Injured,2020,Number,,Sligo
1037,Persons Injured,2020,Number,,Cavan
1038,Persons Injured,2020,Number,,Donegal
1039,Persons Injured,2020,Number,,Monaghan
